source,target,channel,timestamp
tsato,adubois,email,2026-03-25 10:15:00+00:00
tsato,mgarcia,email,2026-03-25 10:15:00+00:00
tsato,jhassan,email,2026-03-25 10:15:00+00:00
tsato,ymorales,email_cc,2026-03-25 10:15:00+00:00
tsato,ljohansson,email_cc,2026-03-25 10:15:00+00:00
mgarcia,adubois,email,2026-03-25 11:00:00+00:00
mgarcia,tsato,email,2026-03-25 11:00:00+00:00
mgarcia,jokonkwo,email,2026-03-25 11:00:00+00:00
mgarcia,msharif,email_cc,2026-03-25 11:00:00+00:00
mgarcia,rchowdhury,email_cc,2026-03-25 11:00:00+00:00
mgarcia,knguyen,email_cc,2026-03-25 11:00:00+00:00
rpatel,adubois,email,2026-03-25 09:45:00+00:00
rpatel,tsato,email,2026-03-25 09:45:00+00:00
rpatel,nkhatri,email_cc,2026-03-25 09:45:00+00:00
rpatel,mohammedhaddad,email_cc,2026-03-25 09:45:00+00:00
hwang,tsato,email,2026-03-25 12:30:00+00:00
hwang,jhassan,email,2026-03-25 12:30:00+00:00
hwang,tkobayashi,email_cc,2026-03-25 12:30:00+00:00
hwang,rprasad,email_cc,2026-03-25 12:30:00+00:00
jdubois,adubois,email,2026-03-25 08:50:00+00:00
jdubois,jokonkwo,email,2026-03-25 08:50:00+00:00
jdubois,mabebe,email,2026-03-25 08:50:00+00:00
jdubois,rmensah,email_cc,2026-03-25 08:50:00+00:00
jdubois,cndlovu,email_cc,2026-03-25 08:50:00+00:00
jdubois,adeokonkwo,email_cc,2026-03-25 08:50:00+00:00
msharif,mgarcia,email,2026-03-25 13:15:00+00:00
msharif,rchowdhury,email,2026-03-25 13:15:00+00:00
msharif,knguyen,email_cc,2026-03-25 13:15:00+00:00
msharif,lrossi,email_cc,2026-03-25 13:15:00+00:00
msharif,carlosgarcia,email_cc,2026-03-25 13:15:00+00:00
ymorales,tsato,email,2026-03-25 14:00:00+00:00
ymorales,ljohansson,email,2026-03-25 14:00:00+00:00
ymorales,hwang,email_cc,2026-03-25 14:00:00+00:00
ymorales,tkobayashi,email_cc,2026-03-25 14:00:00+00:00
nkhatri,rpatel,email,2026-03-25 11:30:00+00:00
nkhatri,mohammedhaddad,email,2026-03-25 11:30:00+00:00
nkhatri,adubois,email_cc,2026-03-25 11:30:00+00:00
nkhatri,aokonkwo,email_cc,2026-03-25 11:30:00+00:00
mabebe,jokonkwo,email,2026-03-25 15:45:00+00:00
mabebe,jdubois,email,2026-03-25 15:45:00+00:00
mabebe,rmensah,email_cc,2026-03-25 15:45:00+00:00
mabebe,fpereira,email_cc,2026-03-25 15:45:00+00:00
eabbas,jhassan,email,2026-03-25 16:00:00+00:00
eabbas,ljohansson,email,2026-03-25 16:00:00+00:00
eabbas,hwang,email_cc,2026-03-25 16:00:00+00:00
eabbas,tkobayashi,email_cc,2026-03-25 16:00:00+00:00
tsilva,tsato,email,2026-03-26 09:15:00+00:00
tsilva,jhassan,email,2026-03-26 09:15:00+00:00
tsilva,ymorales,email,2026-03-26 09:15:00+00:00
tsilva,kpark,email_cc,2026-03-26 09:15:00+00:00
tsilva,tkobayashi,email_cc,2026-03-26 09:15:00+00:00
mgarcia,adubois,email,2026-03-26 10:30:00+00:00
mgarcia,tsato,email,2026-03-26 10:30:00+00:00
mgarcia,jokonkwo,email,2026-03-26 10:30:00+00:00
mgarcia,msharif,email_cc,2026-03-26 10:30:00+00:00
mgarcia,rchowdhury,email_cc,2026-03-26 10:30:00+00:00
mgarcia,lrossi,email_cc,2026-03-26 10:30:00+00:00
adubois,rpatel,email,2026-03-26 11:00:00+00:00
adubois,tsato,email,2026-03-26 11:00:00+00:00
adubois,mgarcia,email,2026-03-26 11:00:00+00:00
adubois,mabebe,email_cc,2026-03-26 11:00:00+00:00
