source,target,channel,timestamp
smensah,ysilva,email,2026-03-24 10:00:00+00:00
smensah,yabdul,email,2026-03-24 10:00:00+00:00
smensah,lhaddad,email_cc,2026-03-24 10:00:00+00:00
smensah,jokafor,email_cc,2026-03-24 10:00:00+00:00
lhaddad,smensah,email,2026-03-24 10:30:00+00:00
lhaddad,jokafor,email,2026-03-24 10:30:00+00:00
lhaddad,yabdul,email,2026-03-24 10:30:00+00:00
lhaddad,mgarcia,email_cc,2026-03-24 10:30:00+00:00
lhaddad,npande,email_cc,2026-03-24 10:30:00+00:00
ktanaka,cnguyen,email,2026-03-24 11:00:00+00:00
ktanaka,ksingh,email,2026-03-24 11:00:00+00:00
ktanaka,hmatsuda,email_cc,2026-03-24 11:00:00+00:00
cnguyen,ktanaka,email,2026-03-24 11:45:00+00:00
cnguyen,ksingh,email,2026-03-24 11:45:00+00:00
cnguyen,hmatsuda,email_cc,2026-03-24 11:45:00+00:00
smensah,lhaddad,email,2026-03-24 12:00:00+00:00
smensah,yabdul,email,2026-03-24 12:00:00+00:00
smensah,jokafor,email,2026-03-24 12:00:00+00:00
smensah,fdubois,email_cc,2026-03-24 12:00:00+00:00
mgarcia,lhaddad,email,2026-03-24 12:30:00+00:00
mgarcia,smensah,email,2026-03-24 12:30:00+00:00
mgarcia,jokafor,email_cc,2026-03-24 12:30:00+00:00
mgarcia,fdubois,email_cc,2026-03-24 12:30:00+00:00
ktanaka,hmatsuda,email,2026-03-24 13:00:00+00:00
ktanaka,drossi,email,2026-03-24 13:00:00+00:00
ktanaka,cnguyen,email_cc,2026-03-24 13:00:00+00:00
drossi,ktanaka,email,2026-03-24 13:30:00+00:00
drossi,hmatsuda,email,2026-03-24 13:30:00+00:00
drossi,cnguyen,email_cc,2026-03-24 13:30:00+00:00
lhaddad,smensah,email,2026-03-24 14:00:00+00:00
lhaddad,yabdul,email,2026-03-24 14:00:00+00:00
lhaddad,jokafor,email,2026-03-24 14:00:00+00:00
lhaddad,mgarcia,email_cc,2026-03-24 14:00:00+00:00
mgarcia,lhaddad,email,2026-03-24 14:30:00+00:00
mgarcia,smensah,email,2026-03-24 14:30:00+00:00
mgarcia,yabdul,email_cc,2026-03-24 14:30:00+00:00
mgarcia,jokafor,email_cc,2026-03-24 14:30:00+00:00
mzhang,akabir,email,2026-03-25 10:00:00+00:00
mzhang,fdubois,email,2026-03-25 10:00:00+00:00
mzhang,jokonkwo_4,email,2026-03-25 10:00:00+00:00
mzhang,jokonkwo,email_cc,2026-03-25 10:00:00+00:00
drossi,cnguyen,email,2026-03-25 10:30:00+00:00
drossi,ktanaka,email,2026-03-25 10:30:00+00:00
drossi,ksingh,email,2026-03-25 10:30:00+00:00
drossi,mzhang,email_cc,2026-03-25 10:30:00+00:00
lhaddad,smensah,email,2026-03-25 11:00:00+00:00
lhaddad,jokafor,email,2026-03-25 11:00:00+00:00
lhaddad,yabdul,email,2026-03-25 11:00:00+00:00
lhaddad,mgarcia,email_cc,2026-03-25 11:00:00+00:00
ktanaka,cnguyen,email,2026-03-25 11:30:00+00:00
ktanaka,ksingh,email,2026-03-25 11:30:00+00:00
ktanaka,mzhang,email_cc,2026-03-25 11:30:00+00:00
drossi,akabir,email,2026-03-25 12:00:00+00:00
drossi,fdubois,email,2026-03-25 12:00:00+00:00
drossi,jokonkwo_4,email,2026-03-25 12:00:00+00:00
drossi,mzhang,email_cc,2026-03-25 12:00:00+00:00
cnguyen,ktanaka,email,2026-03-25 12:30:00+00:00
cnguyen,ksingh,email,2026-03-25 12:30:00+00:00
cnguyen,drossi,email_cc,2026-03-25 12:30:00+00:00
cnguyen,mzhang,email_cc,2026-03-25 12:30:00+00:00
jokonkwo,akabir,email,2026-03-25 13:00:00+00:00
jokonkwo,fdubois,email,2026-03-25 13:00:00+00:00
jokonkwo,jokonkwo_4,email,2026-03-25 13:00:00+00:00
jokonkwo,mzhang,email_cc,2026-03-25 13:00:00+00:00
lhaddad,smensah,email,2026-03-25 13:30:00+00:00
lhaddad,jokafor,email,2026-03-25 13:30:00+00:00
lhaddad,yabdul,email,2026-03-25 13:30:00+00:00
lhaddad,mgarcia,email_cc,2026-03-25 13:30:00+00:00
drossi,cnguyen,email,2026-03-25 14:00:00+00:00
drossi,ktanaka,email,2026-03-25 14:00:00+00:00
drossi,ksingh,email,2026-03-25 14:00:00+00:00
drossi,mzhang,email_cc,2026-03-25 14:00:00+00:00
mgarcia,lhaddad,email,2026-03-25 14:30:00+00:00
mgarcia,smensah,email,2026-03-25 14:30:00+00:00
mgarcia,jokafor,email,2026-03-25 14:30:00+00:00
mgarcia,drossi,email_cc,2026-03-25 14:30:00+00:00
mgarcia,akabir,email,2026-03-26 09:15:00+00:00
mgarcia,fdubois,email,2026-03-26 09:15:00+00:00
mgarcia,jokonkwo_4,email,2026-03-26 09:15:00+00:00
mgarcia,jokonkwo,email_cc,2026-03-26 09:15:00+00:00
smensah,jokafor,email,2026-03-26 09:30:00+00:00
smensah,yabdul,email,2026-03-26 09:30:00+00:00
smensah,lhaddad,email_cc,2026-03-26 09:30:00+00:00
cnguyen,ktanaka,email,2026-03-26 10:00:00+00:00
cnguyen,ksingh,email,2026-03-26 10:00:00+00:00
cnguyen,hmatsuda,email_cc,2026-03-26 10:00:00+00:00
fdubois,akabir,email,2026-03-26 10:15:00+00:00
fdubois,jokonkwo_4,email,2026-03-26 10:15:00+00:00
fdubois,jokonkwo,email_cc,2026-03-26 10:15:00+00:00
mzhang,fdubois,email,2026-03-26 10:30:00+00:00
mzhang,akabir,email,2026-03-26 10:30:00+00:00
mzhang,jokonkwo,email_cc,2026-03-26 10:30:00+00:00
lhaddad,smensah,email,2026-03-26 10:45:00+00:00
lhaddad,yabdul,email,2026-03-26 10:45:00+00:00
lhaddad,jokafor,email_cc,2026-03-26 10:45:00+00:00
mgarcia,jokonkwo,email,2026-03-26 11:00:00+00:00
mgarcia,fdubois,email,2026-03-26 11:00:00+00:00
mgarcia,akabir,email,2026-03-26 11:00:00+00:00
mgarcia,drossi,email_cc,2026-03-26 11:00:00+00:00
ktanaka,cnguyen,email,2026-03-26 11:15:00+00:00
